meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1239,9550,2024-06-30 14:04:34+00:00,77.0,52,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:04:33
1239,9550,2024-06-30 14:04:46+00:00,24.0,52,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:04:46
1239,9550,2024-06-30 14:04:56+00:00,14.0,53,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:04:55
1239,9550,2024-06-30 14:05:41+00:00,22.0,53,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:05:40
1239,9550,2024-06-30 14:06:02+00:00,22.0,54,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:06:02
1239,9550,2024-06-30 14:07:59+00:00,23.0,55,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:07:58
1239,9550,2024-06-30 14:08:19+00:00,18.0,56,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:08:19
1239,9550,2024-06-30 14:10:12+00:00,,57,Other,,,,,CAR 4 (NOR) TIME 1:08.770 DELETED - TRACK LIMITS AT TURN 1 LAP 56 16:08:24
1239,9550,2024-06-30 14:10:18+00:00,4.0,57,Flag,BLACK AND WHITE,Driver,,,BLACK AND WHITE FLAG FOR CAR 4 (NOR) - TRACK LIMITS
1239,9550,2024-06-30 14:10:48+00:00,14.0,58,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:10:48
1239,9550,2024-06-30 14:11:52+00:00,2.0,59,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:11:51
1239,9550,2024-06-30 14:11:53+00:00,77.0,59,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:11:52
1239,9550,2024-06-30 14:12:07+00:00,14.0,59,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:12:06
1239,9550,2024-06-30 14:12:52+00:00,14.0,59,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:12:52
1239,9550,2024-06-30 14:13:21+00:00,77.0,60,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:13:21
1239,9550,2024-06-30 14:13:30+00:00,,60,Other,,,,,CAR 4 (NOR) TIME 1:10.626 DELETED - TRACK LIMITS AT TURN 3 LAP 59 16:12:07
1239,9550,2024-06-30 14:13:37+00:00,,60,Other,,,,,INCIDENT INVOLVING CAR 4 (NOR) NOTED - TRACK LIMITS
1239,9550,2024-06-30 14:14:02+00:00,77.0,60,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:14:01
1239,9550,2024-06-30 14:14:40+00:00,,61,Other,,,,,CAR 2 (SAR) TIME 1:10.755 DELETED - TRACK LIMITS AT TURN 6 LAP 58 16:13:44
1239,9550,2024-06-30 14:14:48+00:00,,61,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 4 (NOR) UNDER INVESTIGATION - TRACK LIMITS
1239,9550,2024-06-30 14:15:07+00:00,31.0,61,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:15:06
1239,9550,2024-06-30 14:16:00+00:00,22.0,62,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:16:00
1239,9550,2024-06-30 14:17:42+00:00,10.0,64,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:17:41
1239,9550,2024-06-30 14:17:59+00:00,,64,Flag,YELLOW,Sector,6.0,,YELLOW IN TRACK SECTOR 6
1239,9550,2024-06-30 14:18:00+00:00,,64,Other,,,,,DRS DISABLED IN ZONE 1
1239,9550,2024-06-30 14:18:02+00:00,,64,Other,,,,,DRS ENABLED IN ZONE 1
1239,9550,2024-06-30 14:18:02+00:00,,64,Flag,CLEAR,Sector,6.0,,CLEAR IN TRACK SECTOR 6
1239,9550,2024-06-30 14:18:07+00:00,31.0,64,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:18:06
1239,9550,2024-06-30 14:18:17+00:00,22.0,64,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:18:16
1239,9550,2024-06-30 14:18:20+00:00,2.0,64,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:18:19
1239,9550,2024-06-30 14:18:23+00:00,,64,Other,,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 4 (NOR) - TRACK LIMITS
1239,9550,2024-06-30 14:18:34+00:00,,64,Other,,,,,TURN 3 INCIDENT INVOLVING CARS 4 (NOR) AND 1 (VER) NOTED - CAUSING A COLLISION
