date,session_key,meeting_key,track_temperature,wind_speed,rainfall,humidity,air_temperature,pressure,wind_direction
2024-06-30 13:57:31.341000+00:00,9550,1239,44.9,0.9,0,33.0,30.1,932.9,281
2024-06-30 13:58:31.352000+00:00,9550,1239,44.6,2.3,0,33.0,30.0,932.9,199
2024-06-30 13:59:31.345000+00:00,9550,1239,44.1,2.5,0,33.0,29.8,932.9,155
2024-06-30 14:00:31.360000+00:00,9550,1239,44.9,1.2,0,33.0,29.5,932.9,60
2024-06-30 14:01:31.374000+00:00,9550,1239,45.2,1.2,0,33.0,29.5,932.9,316
2024-06-30 14:02:31.378000+00:00,9550,1239,45.5,0.9,0,33.0,29.5,932.8,82
2024-06-30 14:03:31.381000+00:00,9550,1239,45.5,1.0,0,33.0,29.6,932.9,227
2024-06-30 14:04:31.379000+00:00,9550,1239,44.7,1.0,0,33.0,29.6,932.8,336
2024-06-30 14:05:31.379000+00:00,9550,1239,44.5,1.4,0,33.0,29.6,932.9,177
2024-06-30 14:06:31.397000+00:00,9550,1239,44.0,1.1,0,33.0,29.6,932.9,310
2024-06-30 14:07:31.411000+00:00,9550,1239,43.9,0.9,0,33.0,29.5,932.9,282
2024-06-30 14:08:31.407000+00:00,9550,1239,43.8,1.7,0,34.0,29.5,932.8,284
2024-06-30 14:09:31.408000+00:00,9550,1239,43.7,1.2,0,34.0,29.4,932.9,252
2024-06-30 14:10:31.417000+00:00,9550,1239,43.7,0.5,0,35.0,29.4,932.8,168
2024-06-30 14:11:31.413000+00:00,9550,1239,43.8,0.9,0,35.0,29.4,932.7,159
2024-06-30 14:12:31.419000+00:00,9550,1239,45.0,1.1,0,35.0,29.6,932.7,139
2024-06-30 14:13:31.413000+00:00,9550,1239,45.9,1.1,0,34.0,29.8,932.6,128
2024-06-30 14:14:31.420000+00:00,9550,1239,45.9,1.2,0,35.0,29.8,932.8,312
2024-06-30 14:15:31.421000+00:00,9550,1239,45.5,2.0,0,34.0,30.0,932.8,306
2024-06-30 14:16:31.415000+00:00,9550,1239,45.6,1.3,0,35.0,30.0,932.8,146
2024-06-30 14:17:31.417000+00:00,9550,1239,46.2,0.9,0,33.0,30.0,932.9,99
2024-06-30 14:18:31.415000+00:00,9550,1239,46.2,1.4,0,34.0,30.1,932.8,336
2024-06-30 14:19:31.426000+00:00,9550,1239,46.5,1.2,0,35.0,30.0,932.9,321
2024-06-30 14:20:31.416000+00:00,9550,1239,46.2,1.7,0,34.0,30.0,932.8,214
2024-06-30 14:21:31.415000+00:00,9550,1239,46.5,2.9,0,34.0,29.9,932.8,274
2024-06-30 14:22:31.421000+00:00,9550,1239,46.0,3.3,0,34.0,29.9,932.8,257
2024-06-30 14:23:31.424000+00:00,9550,1239,45.7,2.7,0,34.0,29.9,932.8,292
2024-06-30 14:24:31.418000+00:00,9550,1239,45.1,3.6,0,34.0,29.8,932.9,274
2024-06-30 14:25:31.427000+00:00,9550,1239,44.3,2.1,0,35.0,29.8,932.7,149
2024-06-30 14:26:31.427000+00:00,9550,1239,43.8,1.1,0,35.0,29.6,932.7,284
2024-06-30 14:27:31.424000+00:00,9550,1239,43.8,1.2,0,34.0,29.6,932.8,248
2024-06-30 14:28:31.422000+00:00,9550,1239,43.5,1.0,0,34.0,29.6,932.8,329
2024-06-30 14:29:31.430000+00:00,9550,1239,43.5,2.3,0,34.0,29.4,932.7,322
2024-06-30 14:30:31.430000+00:00,9550,1239,43.4,1.5,0,35.0,29.2,932.8,295
